Meio_de_cultura	Concentração_Al	Sensivel	Tolerante
Sólido	Al-0	10.72315431	11.57420109
Sólido	Al-0	10.62693849	11.59369209
Sólido	Al-0	10.77201175	11.76813654
Sólido	Al-0	10.58665709	11.39878209
Sólido	Al-0	10.77571979	11.44426109
Sólido	Al-0	10.74258509	11.70414109
Sólido	Al-05	4.46193519	6.18818809
Sólido	Al-05	4.3341392	6.25185869
Sólido	Al-05	4.55029439	6.16252494
Sólido	Al-05	4.59993147	6.30513409
Sólido	Al-05	4.46583339	6.26615209
Sólido	Al-05	4.53989919	6.19533479
Sólido	Al-10	8.56316644	11.46771526
Sólido	Al-10	8.57934397	11.51247959
Sólido	Al-10	8.59402719	11.50988079
Sólido	Al-10	8.72786539	11.36694679
Sólido	Al-10	8.60702119	11.49688679
Sólido	Al-10	8.70447619	11.39293479
Sólido	Al-30	15.30581801	10.94464179
Sólido	Al-30	16.01165209	10.95958489
Sólido	Al-30	16.51932767	11.08757579
Sólido	Al-30	15.75177209	11.00311479
Sólido	Al-30	16.40147209	11.03559979
Sólido	Al-30	15.62183209	11.07458179
Líquido	Al-0	13.60256449	10.97777649
Líquido	Al-0	13.70001949	10.73680276
Líquido	Al-0	13.64005218	10.85108499
Líquido	Al-0	13.74549849	10.95295795
Líquido	Al-0	13.58307349	10.75804795
Líquido	Al-0	13.66753449	10.81002395
Líquido	Al-05	5.79966749	3.89650603
Líquido	Al-05	6.05402504	3.93223953
Líquido	Al-05	5.70318704	3.90904524
Líquido	Al-05	5.93610449	4.05314395
Líquido	Al-05	5.86463749	3.92320395
Líquido	Al-05	5.91661349	3.87122795
Líquido	Al-10	9.46430034	4.73877711
Líquido	Al-10	9.51374251	4.63800864
Líquido	Al-10	9.43798749	4.58544791
Líquido	Al-10	9.41849649	4.52092795
Líquido	Al-10	9.50217785	4.84577795
Líquido	Al-10	9.45747849	4.65086795
Líquido	Al-30	9.44175575	13.59685188
Líquido	Al-30	9.70891239	13.850202395
Líquido	Al-30	10.10587909	13.7642146
Líquido	Al-30	9.54310895	13.74666795
Líquido	Al-30	9.80298895	13.42181795
Líquido	Al-30	9.65355795	13.61672795
