Concentração_Al	Meio_Sólido	Meio_Líquido
Al-0	10.72315431	13.60256449
Al-0	10.62693849	13.70001949
Al-0	10.77201175	13.64005218
Al-0	10.58665709	13.74549849
Al-0	10.77571979	13.58307349
Al-0	10.74258509	13.66753449
Al-05	4.46193519	5.79966749
Al-05	4.3341392	6.05402504
Al-05	4.55029439	5.70318704
Al-05	4.59993147	5.93610449
Al-05	4.46583339	5.86463749
Al-05	4.53989919	5.91661349
Al-10	8.56316644	9.46430034
Al-10	8.57934397	9.51374251
Al-10	8.59402719	9.43798749
Al-10	8.72786539	9.41849649
Al-10	8.60702119	9.50217785
Al-10	8.70447619	9.45747849
Al-30	15.30581801	9.44175575
Al-30	16.01165209	9.70891239
Al-30	16.51932767	10.10587909
Al-30	15.75177209	9.54310895
Al-30	16.40147209	9.80298895
Al-30	15.62183209	9.65355795
