Concentração_Al	Meio_Sólido	Meio_Líquido
Al-0	11.57420109	10.97777649
Al-0	11.59369209	10.73680276
Al-0	11.76813654	10.85108499
Al-0	11.39878209	10.95295795
Al-0	11.44426109	10.75804795
Al-0	11.70414109	10.81002395
Al-05	6.18818809	3.89650603
Al-05	6.25185869	3.93223953
Al-05	6.16252494	3.90904524
Al-05	6.30513409	4.05314395
Al-05	6.26615209	3.92320395
Al-05	6.19533479	3.87122795
Al-10	11.46771526	4.73877711
Al-10	11.51247959	4.63800864
Al-10	11.50988079	4.58544791
Al-10	11.36694679	4.52092795
Al-10	11.49688679	4.84577795
Al-10	11.39293479	4.65086795
Al-30	10.94464179	13.59685188
Al-30	10.95958489	13.850202395
Al-30	11.08757579	13.7642146
Al-30	11.00311479	13.74666795
Al-30	11.03559979	13.42181795
Al-30	11.07458179	13.61672795
