Meio_de_cultura	Concentração_Al	Sensivel	Tolerante
Sólido	Al-0	3.258595	4.191085
Sólido	Al-0	3.2603734	4.270762
Sólido	Al-0	3.0263734	4.1651578
Sólido	Al-0	3.29896	4.237885
Sólido	Al-0	3.21823	4.155985
Sólido	Al-0	3.3373828	4.226185
Sólido	Al-05	3.512485	1.7225488
Sólido	Al-05	3.2794561	1.6927021
Sólido	Al-05	3.219985	1.6532965
Sólido	Al-05	3.201265	1.663885
Sólido	Al-05	3.449305	1.698985
Sólido	Al-05	3.499615	1.711153
Sólido	Al-10	2.5189093	3.6625843
Sólido	Al-10	2.4915547	3.7986202
Sólido	Al-10	2.3991013	3.5688439
Sólido	Al-10	2.513305	3.676753
Sólido	Al-10	2.466505	3.746953
Sólido	Al-10	2.408005	3.594853
Sólido	Al-30	5.899285	3.4941745
Sólido	Al-30	6.0431131	3.6484156
Sólido	Al-30	5.9493025	3.5525107
Sólido	Al-30	5.839615	3.571453
Sólido	Al-30	5.956615	3.653353
Sólido	Al-30	6.038515	3.501253
Líquido	Al-0	0.790363	1.1089657
Líquido	Al-0	0.617437	0.9969382
Líquido	Al-0	0.769303	1.0693729
Líquido	Al-0	0.803233	1.079236
Líquido	Al-0	0.720163	1.003186
Líquido	Al-0	0.649963	1.143586
Líquido	Al-05	1.394083	0.7046488
Líquido	Al-05	1.434448	0.6260131
Líquido	Al-05	1.339444	0.6569011
Líquido	Al-05	1.351963	0.675586
Líquido	Al-05	1.410463	0.605386
Líquido	Al-05	1.305163	0.722386
Líquido	Al-10	0.828973	0.8810731
Líquido	Al-10	0.9191098	0.9545842
Líquido	Al-10	0.7973479	0.9914626
Líquido	Al-10	0.809083	1.073386
Líquido	Al-10	0.875773	1.003186
Líquido	Al-10	0.849916	0.856936
Líquido	Al-30	0.5889007	1.2388942
Líquido	Al-30	0.6751999	1.3518577
Líquido	Al-30	0.6219766	1.2936853
Líquido	Al-30	0.686116	1.406836
Líquido	Al-30	0.605386	1.336636
Líquido	Al-30	0.716536	1.199746
