Concentração_Al	Meio_Sólido	Meio_Líquido
Al-0	3.258595	0.790363
Al-0	3.2603734	0.617437
Al-0	3.0263734	0.769303
Al-0	3.29896	0.803233
Al-0	3.21823	0.720163
Al-0	3.3373828	0.649963
Al-05	3.512485	1.394083
Al-05	3.2794561	1.434448
Al-05	3.219985	1.339444
Al-05	3.201265	1.351963
Al-05	3.449305	1.410463
Al-05	3.499615	1.305163
Al-10	2.5189093	0.828973
Al-10	2.4915547	0.9191098
Al-10	2.3991013	0.7973479
Al-10	2.513305	0.809083
Al-10	2.466505	0.875773
Al-10	2.408005	0.849916
Al-30	5.899285	0.5889007
Al-30	6.0431131	0.6751999
Al-30	5.9493025	0.6219766
Al-30	5.839615	0.686116
Al-30	5.956615	0.605386
Al-30	6.038515	0.716536
