Concentração_Al	Meio_Sólido	Meio_Líquido
Al-0	4.191085	1.1089657
Al-0	4.270762	0.9969382
Al-0	4.1651578	1.0693729
Al-0	4.237885	1.079236
Al-0	4.155985	1.003186
Al-0	4.226185	1.143586
Al-05	1.7225488	0.7046488
Al-05	1.6927021	0.6260131
Al-05	1.6532965	0.6569011
Al-05	1.663885	0.675586
Al-05	1.698985	0.605386
Al-05	1.711153	0.722386
Al-10	3.6625843	0.8810731
Al-10	3.7986202	0.9545842
Al-10	3.5688439	0.9914626
Al-10	3.676753	1.073386
Al-10	3.746953	1.003186
Al-10	3.594853	0.856936
Al-30	3.4941745	1.2388942
Al-30	3.6484156	1.3518577
Al-30	3.5525107	1.2936853
Al-30	3.571453	1.406836
Al-30	3.653353	1.336636
Al-30	3.501253	1.199746
